,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
140,lion - 3,0.9264448336252189,0.9744525547445255,0.8841059602649006,0.9270833333333334
141,lizard - 1,0.9212598425196851,0.9298561151079137,0.9102112676056338,0.9199288256227758
142,lizard - 2,0.9011373578302713,0.9769230769230769,0.8341543513957307,0.899911426040744
143,lizard - 3,0.9081364829396326,0.927710843373494,0.8953488372093024,0.9112426035502958
144,lobster - 1,0.9720524017467249,0.9557069846678024,0.9894179894179894,0.9722703639514731
145,lobster - 2,0.925764192139738,0.904320987654321,0.9622331691297209,0.9323786793953858
146,lobster - 3,0.9632867132867133,0.9730185497470489,0.956882255389718,0.9648829431438127
147,mosquito - 1,0.9404553415061296,0.9902723735408561,0.8898601398601399,0.9373848987108656
148,mosquito - 2,0.9710780017528484,1.0,0.9450915141430949,0.9717707442258341
149,mosquito - 3,0.9517966695880806,0.9981916817359855,0.9108910891089109,0.9525452976704055
150,moth - 1,0.9325744308231173,0.9219015280135824,0.945993031358885,0.9337919174548582
151,moth - 2,0.9063047285464098,0.8776758409785933,0.9550748752079867,0.9147410358565736
152,moth - 3,0.9010507880910683,0.8680659670164917,0.9586092715231788,0.911093627065303
153,mouse - 1,0.9597197898423818,0.9852941176470589,0.9337979094076655,0.9588550983899822
154,mouse - 2,0.9430823117338003,0.9890510948905109,0.9018302828618968,0.9434290687554394
155,mouse - 3,0.9404553415061296,0.9786096256684492,0.9074380165289256,0.9416809605488851
156,octopus - 1,0.9210526315789473,0.9444444444444444,0.8947368421052632,0.918918918918919
157,octopus - 2,0.9236172080772608,0.8897280966767371,0.9767827529021559,0.9312252964426878
158,octopus - 3,0.9587357330992098,0.9500805152979066,0.9735973597359736,0.9616951915240425
159,okapi - 1,0.9692712906057945,0.9875,0.9518072289156626,0.9693251533742331
160,okapi - 2,0.9271290605794557,0.8770370370370371,1.0,0.9344909234411997
161,okapi - 3,0.9797891036906854,0.9802306425041186,0.9818481848184818,0.9810387469084914
162,orangutan - 1,0.9746281714785652,0.992633517495396,0.9556737588652482,0.9738030713640469
163,orangutan - 2,0.952755905511811,0.9414556962025317,0.9722222222222222,0.9565916398713827
164,orangutan - 3,0.9439579684763573,0.9926873857404022,0.900497512437811,0.9443478260869564
165,otter - 1,0.9316987740805605,0.9732824427480916,0.8885017421602788,0.9289617486338797
166,otter - 2,0.9150612959719789,0.9883720930232558,0.848585690515807,0.9131602506714412
167,otter - 3,0.8555166374781086,0.8580750407830342,0.8708609271523179,0.8644207066557106
168,owl - 1,0.7364273204903677,0.8888888888888888,0.5435540069686411,0.6745945945945946
169,owl - 2,0.9430823117338003,0.9481605351170569,0.9434276206322796,0.9457881567973311
170,owl - 3,0.8966725043782837,0.9278169014084507,0.8725165562913907,0.8993174061433448
171,ox - 1,0.9064685314685315,0.9535783365570599,0.8559027777777778,0.9021043000914913
172,ox - 2,0.8741258741258742,0.8405365126676602,0.9384359400998337,0.8867924528301887
173,ox - 3,0.8460192475940508,0.895910780669145,0.8006644518272426,0.8456140350877193
